date,output_gap,quarter
2009-10-01,-5.070640381298566,2009Q4
2010-01-01,-4.9474641590874056,2010Q1
2010-04-01,-4.3123739113319886,2010Q2
2010-07-01,-3.851193580249943,2010Q3
2010-10-01,-3.622871373763209,2010Q4
2011-01-01,-4.144934786056783,2011Q1
2011-04-01,-3.7642923601778153,2011Q2
2011-07-01,-4.1094146811566965,2011Q3
2011-10-01,-3.332908509957176,2011Q4
2012-01-01,-2.9231361833512888,2012Q1
2012-04-01,-2.873204221129632,2012Q2
2012-07-01,-3.120866978833198,2012Q3
2012-10-01,-3.3994146550390822,2012Q4
2013-01-01,-2.9451010361313026,2013Q1
2013-04-01,-3.2306439814050076,2013Q2
2013-07-01,-2.88447191103644,2013Q3
2013-10-01,-2.5261092100260303,2013Q4
2014-01-01,-3.2132663878566183,2014Q1
2014-04-01,-2.321828347388324,2014Q2
2014-07-01,-1.554047654797242,2014Q3
2014-10-01,-1.4286404277951872,2014Q4
2015-01-01,-1.0889751428342436,2015Q1
2015-04-01,-0.7969621840357927,2015Q2
2015-07-01,-0.9100183844390476,2015Q3
2015-10-01,-1.315116627216595,2015Q4
2016-01-01,-1.2506805705543556,2016Q1
2016-04-01,-1.2063030669623855,2016Q2
2016-07-01,-1.0877016859917121,2016Q3
2016-10-01,-1.0072921757675388,2016Q4
2017-01-01,-0.8619165869333171,2017Q1
2017-04-01,-0.7520377142353614,2017Q2
2017-07-01,-0.3961548163502561,2017Q3
2017-10-01,0.0336530849571147,2017Q4
2018-01-01,0.2024563882397696,2018Q1
2018-04-01,0.5891817926140666,2018Q2
2018-07-01,0.8219590958019374,2018Q3
2018-10-01,0.5920205644513469,2018Q4
2019-01-01,0.8481465891592651,2019Q1
2019-04-01,0.8288145026635922,2019Q2
