quarter,avg_consumer_price_index,gdp,gdp_pct_change,avg_housing_starts,output_gap,recession_actual,avg_unemployment_rate,fed_funds_avg_rate,fed_funds_percent_change_prev_quarter,fed_funds_st_dev_rate,10YT_minus_2YT_avg,10YT_minus_2YT_percent_change_prev_quarter,real_disp_pers_inc,personal_consumption_exp_excl_food_energy,tot_public_debt_as_pct_of_gdp,gross_private_domestic_invest,M2_velocity,median_sls_price_houses_sold_US,personal_consumption_expenditures
1978Q2,64.46666666666667,2331.633,25.5,2114.0,1.7376704167375931,0.0,5.833333333333332,7.2826373626373675,0.07738405325360555,0.3338523797689798,0.3233333333333333,-0.30215827338129503,4.3,6.6,32.12444,470.584,1.78,55300.0,1411.385
1978Q3,65.96666666666667,2395.053,11.3,2019.333333333333,1.848113496932516,0.0,6.0,8.094782608695649,0.11151801272227133,0.35298874078756315,0.013333333333333336,-0.958762886597938,3.1,6.6,32.21407,492.36800000000005,1.795,56100.0,1442.217
1978Q4,67.5,2476.949,14.4,2039.666666666667,2.3147852527556063,0.0,5.566666666666666,9.577826086956527,0.1832097969706749,0.5581520256234812,-0.5099999999999999,-39.24999999999999,2.7,7.0,31.862059999999996,515.755,1.8219999999999998,59000.0,1481.354
1979Q1,69.2,2526.61,8.3,1665.666666666667,1.6257763038890565,0.0,6.3,10.073222222222224,0.05172323351541594,0.30247602849685634,-0.6833333333333332,0.3398692810457517,4.9,6.8,31.536009999999997,525.809,1.8319999999999999,60600.0,1517.141
1979Q2,71.39999999999998,2591.2470000000008,10.6,1845.666666666667,0.9145322148955576,1.0,5.566666666666666,10.181978021978011,0.01079652541724596,0.20250223472138665,-0.48,-0.29756097560975603,-3.6,7.3,31.06277,539.293,1.835,63100.0,1557.635
1979Q3,73.7,2667.565,12.3,1790.0,0.88731934593584,1.0,5.833333333333332,10.940108695652173,0.07445809370612634,0.5146864927872323,-0.45,-0.06249999999999994,1.8,7.4,30.98402,545.621,1.8459999999999999,64700.0,1611.8670000000002
1979Q4,76.03333333333333,2723.883,8.7,1567.666666666667,0.4169625362777885,1.0,5.633333333333333,13.580217391304348,0.2413238084829461,1.1877478718847472,-1.1166666666666665,1.4814814814814812,0.7,7.7,31.02615,547.875,1.857,62600.0,1655.035
1980Q1,79.03333333333333,2789.842,10.0,1246.0,0.09868392159159116,1.0,6.766666666666667,15.065274725274724,0.10935445959217753,1.8827493729822895,-1.28,0.14626865671641814,1.4,8.9,30.949820000000003,554.562,1.869,63700.0,1702.3020000000001
1980Q2,81.7,2797.3520000000008,1.1,1058.0,-2.4806250091013675,1.0,7.2,12.668901098901095,-0.15906604227756166,3.840457857700892,0.25,-1.1953125,-3.5,8.9,31.37303,519.294,1.847,64000.0,1704.723
1980Q3,83.23333333333333,2856.483,8.7,1392.0,-3.084834171291132,0.0,7.566666666666666,9.823152173913048,-0.22462476443476925,1.0593061479337151,0.5766666666666667,1.3066666666666666,4.6,9.3,31.776870000000002,495.07099999999997,1.831,64900.0,1763.771
1980Q4,85.56666666666669,2985.557,19.3,1505.0,-1.7684755341541478,0.0,7.033333333333334,15.852826086956524,0.6138227125358233,2.859342245921604,-0.8033333333333333,-2.3930635838150294,5.6,9.7,31.156999999999996,551.472,1.874,66400.0,1831.874
1981Q1,87.93333333333332,3124.206,19.9,1366.3333333333333,-0.3736931924108359,0.0,7.966666666666666,16.595555555555567,0.04685154965587785,2.1816034259495614,-0.6233333333333333,-0.22406639004149384,-0.6,9.4,30.872840000000004,619.381,1.9280000000000002,66800.0,1885.734
